,text,label,preprocessed_text
2154,"Another note about this phone's appearance is that it really looks rather bland, especially in the all black model.",negative,another note phone s appearance be really look rather bland especially black model
265,"They have horrible attitudes towards customers, and talk down to each one when customers don't enjoy their food.",negative,have horrible attitude towards customer talk one customer do not enjoy food
2250,I came back today since they relocated and still not impressed.,negative,come back today since relocate still not impressed
2229,Earbud piece breaks easily.,negative,earbud piece break easily
240,I have always used corded headsets and the freedom from the wireless is very helpful.,positive,have always use cord headset freedom wireless be very helpful
2722,"All I can do is whine on the Internet, so here it goes.The more I use the thing the less I like it.",negative,can do be whine internet go the use thing less like it
2159,"Good value, great food, great service.",positive,good value great food great service
542,Linked to my phone without effort.,positive,link phone without effort
959,"However, this didn't make up for the fact that overall, this was a tremendously boring movie.  ",negative,however do not make fact overall be tremendously boring movie
359,It's one of the movies I need to see whenever it comes on TV...never mind the fact that I already have it memorized!  ,positive,be one of movie need see whenever come tv never mind fact already have memorize
2182,I'm probably one of the few people to ever go to Ians and not like it.,negative,be probably one of few people ever go ians not like it
2701,And it was boring.  ,negative,be bore
2108,Phone now holds charge like it did when it was new.,positive,phone hold charge like do be new
559,Great sound and service.,positive,great sound service
1215,"We got sitting fairly fast, but, ended up waiting 40 minutes just to place our order, another 30 minutes before the food arrived.",negative,get sit fairly fast but end wait forty minute place order another thirty minute food arrive
2695,They were excellent.,positive,be excellent
785,Much less than the jawbone I was going to replace it with.,positive,much less jawbone be go replace with
1582,You will leave the theater wanting to go out and dance under the stars.  ,positive,leave theater want go out dance star
2647,Based on the sub-par service I received and no effort to show their gratitude for my business I won't be going back.,negative,base sub par service receive no effort show gratitude business not be go back
172,"I have to use the smallest earpieces provided, but it stays on pretty well.",positive,have use small earpiece provide stay pretty well
679,"However, after finally watching this film, I realized that not only had I had a closed mind to the brilliance it depicts, I also found myself watching it over and over again.  ",positive,however finally watch film realize not have have close mind brilliance depicts also find watch again
849,It's very slow.  ,negative,be very slow
812,Once your food arrives it's meh.,negative,food arrives be meh
1899,"Perhaps my phone is defective, but people cannot hear me when I use this.",negative,perhaps phone be defective people cannot hear use this
2195,The two main characters may be two of the most believable children I ever saw put on screen.  ,positive,two main character may be two of believable child ever saw put screen
1641,EXCELLENT SERVICE!!!!!!!!.,positive,excellent service
2556,"I'd say that would be the hardest decision... Honestly, all of M's dishes taste how they are supposed to taste (amazing).",positive,would say would be hard decision honestly of m s dish taste be suppose taste amaze
435,Even the squibs look awful.  ,negative,even squibs look awful
814,I bought this phone as a replacement for my StarTac and have regretted it since.,negative,buy phone replacement startac have regret since
1732,"The chips that came out were dripping with grease, and mostly not edible.",negative,chip come out be drip grease mostly not edible
638,I've never been treated so bad.,negative,have never be treat bad
2421,"REAL sushi lovers, let's be honest - Yama is not that good.",negative,real sushi lover let u be honest yama be not good
1551,"The decor is nice, and the piano music soundtrack is pleasant.",positive,decor be nice piano music soundtrack be pleasant
1965,Ursula Burton's portrayal of the nun is both touching and funny at the same time with out making fun of nuns or the church.  ,positive,ursula burton s portrayal of nun be touch funny time out make fun of nun church
1108,It's also great to see that renowned silent screenwriter Frances Marion hasn't missed a step going from silent to sound.  ,positive,be also great see renowned silent screenwriter france marion have not miss step go silent sound
409,i would advise to not purchase this item it never worked very well.,negative,would advise not purchase item never work very well
90,"The food sucked, which we expected but it sucked more than we could have imagined.",negative,food suck expect sucked could have imagine
1058,"- Really, really good rice, all the time.",positive,really really good rice time
1217,"Bela Lugosi was totally extraneous, intoning odd lines.  ",negative,bela lugosi be totally extraneous intone odd line
1132,We asked for the bill to leave without eating and they didn't bring that either.,negative,ask bill leave without eat do not bring either
332,This is actually a very smart movie.  ,positive,be actually very smart movie
770,"I had high hopes for this place since the burgers are cooked over a charcoal grill, but unfortunately the taste fell flat, way flat.",negative,have high hope place since burger be cook charcoal grill unfortunately taste fell flat way flat
2015,"Very good food, great atmosphere.1",positive,very good food great atmosphere one
1881,I paid too much.  ,negative,pay too much
2691,"I own a Jabra Earset and was very happy with it, but the sound quality, especially outgoing, on this is better.",positive,jabra earset be very happy it sound quality especially outgo be well
1208,"As for the ""mains,"" also uninspired.",negative,main also uninspired
1845,Lucy Bell is so much higher than this crap and for her to sink this low is quite depressing.  ,negative,lucy bell be much high crap sink low be quite depressing
2290,Great service and food.,positive,great service food
2725,"This is an excellent tool, especially when paired with your phone's auto-answer.",positive,be excellent tool especially pair phone s auto answer
1772,Very good quality though,positive,very good quality though
2076,Authentic leather with nice shine and comfort .I recommend you this case !!,positive,authentic leather nice shine comfort i recommend case
974,It finds my cell phone right away when I enter the car.,positive,find cell phone right away enter car
1340,"It didn't make me scared, horrified, or make me sympathetic towards the characters; it was simply annoying.  ",negative,do not make scared horrified make sympathetic towards character be simply annoy
634,Defective crap.,negative,defective crap
600,It's kind of embarrassing to use because of how it looks and mostly it's embarrassing how child-like the company is.,negative,be kind of embarrass use of look mostly be embarrass child like company be
1455,Waited and waited and waited.,negative,wait wait waited
2265,"This place is a jewel in Las Vegas, and exactly what I've been hoping to find in nearly ten years living here.",positive,place be jewel la vegas exactly have be hop find nearly ten year live here
1221,Good price.,positive,good price
865,This is a great phone!.,positive,be great phone
1933,"That just SCREAMS ""LEGIT"" in my book...somethat's also pretty rare here in Vegas.",positive,scream legit book somethat s also pretty rare vega
2035,"OMG, the food was delicioso!",positive,omg food be delicioso
2184,"Not only did the software do a great job of this, I could also make my own ringtones form my existing CDs without an internet connection.",positive,not do software do great job of this could also make ringtones form exist cd without internet connection
2204,Superb Phone on a Great Network.,positive,superb phone great network
2123,Design Flaw?.,negative,design flaw
1607,"They have a plethora of salads and sandwiches, and everything I've tried gets my seal of approval.",positive,have plethora of salad sandwich everything have try get seal of approval
1934,Best I've found so far .... I've tried 2 other bluetooths and this one has the best quality (for both me and the listener) as well as ease of using.,positive,best have find far have try two bluetooths one have best quality for listener well ease of use
2566,"The fat computer geek was unbelievable, the bible thumper, the bad-ass girl, who are these actors???  ",negative,fat computer geek be unbelievable bible thumper bad as girl be actor
2210,This battery is an excellent bargain!,positive,battery be excellent bargain
1989,Great Phone.,positive,great phone
888,Always a pleasure dealing with him.,positive,always pleasure deal him
673,Has been working great.,positive,have be work great
2478,"Their on-screen chemistry, critical to the entire film, is genuine.  ",positive,on screen chemistry critical entire film be genuine
443,And service was super friendly.,positive,service be super friendly
1020,"Oh this is such a thing of beauty, this restaurant.",positive,oh be thing of beauty restaurant
1198,The directing seems too pretentious.  ,negative,direct seem too pretentious
1662,"The plot doesn't hang together at all, and the acting is absolutely appalling.  ",negative,plot do not hang together all acting be absolutely appal
2448,And generally the lines and plot is weaker than the average episode.  ,negative,generally line plot be weak average episode
2422,I wear it everyday and it holds up very well.,positive,wear everyday hold very well
1456,"This hole in the wall has great Mexican street tacos, and friendly staff.",positive,hole wall have great mexican street taco friendly staff
434,The film has an ultra-cheap look to it.  ,negative,film have ultra cheap look it
1735,Piece of trash.,negative,piece of trash
192,Awesome selection of beer.,positive,awesome selection of beer
1255,The telephone repair man was really funny and his reactions to the nuts and bitchy boss were truly genuine.  ,positive,telephone repair man be really funny reaction nut bitchy bos be truly genuine
804,Battery charge-life is quite long.,positive,battery charge life be quite long
2503,Appetite instantly gone.,negative,appetite instantly go
838,They had a toro tartare with a cavier that was extraordinary and I liked the thinly sliced wagyu with white truffle.,positive,have toro tartare cavier be extraordinary like thinly slice wagyu white truffle
1538,I found a six inch long piece of wire in my salsa.,negative,find six inch long piece of wire salsa
1672,The lighting is just dark enough to set the mood.,positive,lighting be dark enough set mood
398,"This is a witty and delightful adaptation of the Dr Seuss book, brilliantly animated by UPA's finest and thoroughly deserving of its Academy Award.  ",positive,be witty delightful adaptation of dr seuss book brilliantly animate upa s fine thoroughly deserve of academy award
348,"Both of them were truly unbelievably good, and I am so glad we went back.",positive,of be truly unbelievably good be glad go back
1497,"It took over 30 min to get their milkshake, which was nothing more than chocolate milk.",negative,take thirty min get milkshake be nothing chocolate milk
1193,"I particularly remember my senses being assaulted by strident cords of music that would blare out with very little warning, and even less meaning.  ",negative,particularly remember sens be assault strident cord of music would blare out very little warn even less mean
1480,This is a really fantastic Thai restaurant which is definitely worth a visit.,positive,be really fantastic thai restaurant be definitely worth visit
1994,I had to go to a store and bought a new NOKIA phone which is working great.,positive,have go store buy new nokia phone be work great
1219,"Overall, I was very disappointed with the quality of food at Bouchon.",negative,overall be very disappointed quality of food bouchon
937,There is no plot here to keep you going in the first place.  ,negative,be no plot keep go first place
97,The chefs were friendly and did a good job.,positive,chef be friendly do good job
714,What is even more stupid is that who had thought an idea that there should be a volcano in Los Angeles?  ,negative,be even stupid be have think idea be volcano los angeles
1710,Def coming back to bowl next time,positive,def come back bowl next time
289,Very disappointing.  ,negative,very disappointing
453,"Aside from it's terrible lead, this film has loads of other debits.  ",negative,aside be terrible lead film have load of debit
1179,"Lifetime does not air it enough, so if anyone knows what store sells it let me know because this is a must-have.  ",positive,lifetime do not air enough anyone know store sell let know be must have
588,Won't go back.,negative,not go back
1721,Disappointment.. I hate anything that goes in my ear.,negative,disappointment hate anything go ear
602,I can't tell you how disappointed I was.,negative,cannot tell disappoint be
188,"Characters are one-dimensional, even the good guys and especially the bad guys.  ",negative,character be one dimensional even good guy especially bad guy
823,"When I opened the sandwich, I was impressed, but not in a good way.",negative,open sandwich be impressed not good way
1537,"The ""1.2"" mega pixel camera, being a part of a phone, is reasonably good7.",positive,one two mega pixel camera be part of phone be reasonably good7
66,End of Days is one of the worst big-budget action movies I've ever seen.  ,negative,end of day be one of bad big budget action movie have ever see
1315,Cooked to perfection and the service was impeccable.,positive,cooked perfection service be impeccable
1128,"When my order arrived, one of the gyros was missing.",negative,order arrive one of gyro be miss
1335,Waiter was a jerk.,negative,waiter be jerk
1191,Her role was played well.  ,positive,role be play well
124,Yes it's shiny on front side - and I love it!,positive,yes be shiny front side love it
2498,"The chains, which I'm no fan of, beat this place easily.",negative,chain be no fan of beat place easily
196,NOT WHAT I WANTED.,negative,not want
263,I've lived here since 1979 and this was the first (and last) time I've stepped foot into this place.,negative,have live since one thousand nine hundred seventy nine be first and last time have step foot place
1302,The scenes are often funny and occasionally touching as the characters evaluate their lives and where they are going.  ,positive,scene be often funny occasionally touch character evaluate life be go
2334,I hate those things as much as cheap quality black olives.,negative,hate thing much cheap quality black olive
920,I've never been more insulted or felt disrespected.,negative,have never be insult felt disrespected
2496,The shrimp tender and moist.,positive,shrimp tender moist
2337,Now the pizza itself was good the peanut sauce was very tasty.,positive,pizza be good peanut sauce be very tasty
591,"I received my orders well within the shipping timeframe, everything was in good working order and overall, I am very excited to have this source.",positive,receive order well within ship timeframe everything be good work order overall be very excited have source
2203,I consider this theft.,negative,consider theft
1796,"I am so tired of clichés that is just lazy writing, and here they come in thick and fast.  ",negative,be tire of cliche be lazy write come thick fast
2342,There still are good actors around!  ,positive,still be good actor around
1837,Display is excellent and camera is as good as any from that year.,positive,display be excellent camera be good any year
1485,So far it has worked like a charm.,positive,far have work like charm
711,This is an extraordinary film.  ,positive,be extraordinary film
2658,"That's a huge design flaw (unless I'm not using it correctly, which I don't think is the case).",negative,be huge design flaw unless be not use correctly do not think be case
641,Service was fantastic.,positive,service be fantastic
593,Things that went wrong: - They burned the saganaki.,negative,thing go wrong burn saganaki
639,"I found this move beautiful, enjoyable, and uplifting.  ",positive,find move beautiful enjoyable uplifting
75,It is a very well acted and done TV Movie.  ,positive,be very well act do tv movie
148,All of the tapas dishes were delicious!,positive,of tapas dish be delicious
1559,This place is awesome if you want something light and healthy during the summer.,positive,place be awesome want something light healthy summer
2735,"My side Greek salad with the Greek dressing was so tasty, and the pita and hummus was very refreshing.",positive,side greek salad greek dressing be tasty pita hummus be very refresh
266,Best of luck to the rude and non-customer service focused new management.,negative,best of luck rude non customer service focus new management
860,You won't be disappointed.,positive,not be disappoint
1692,"Helen Baxendale is a very credible lady Macbeth who can be very cheerfull at times and sometimes she just looks like a naughty girl, but deadly in her taste for blood and evil.  ",positive,helen baxendale be very credible lady macbeth can be very cheerfull time sometimes look like naughty girl deadly taste blood evil
1138,":) Anyway, the plot flowed smoothly and the male-bonding scenes were a hoot.  ",positive,anyway plot flow smoothly male bond scene be hoot
808,the movie is littered with overt racial slurs towards the black cast members and in return the whites are depicted as morons and boobs.  ,negative,movie be litter overt racial slur towards black cast member return white be depict moron boob
740,"What possesed me to get this junk, I have no idea...",negative,possesed get junk have no idea
1852,"If you have not seen this movie, I definitely recommend it!  ",positive,have not see movie definitely recommend it
2424,"Tom Wilkinson's character is a man who is not prepared for the ordeal that is about to begin, but he takes the matter in hand as the story progresses, and this great actor gives a performance that makes you feel the character's anguish and suffering.  ",positive,tom wilkinson s character be man be not prepared ordeal be begin take matter hand story progress great actor give performance make feel character s anguish suffering
232,A good time!,positive,good time
892,I got home to see the driest damn wings ever!,negative,get home see dry damn wing ever
2655,You wont regret it!  ,positive,not regret it
2402,Meredith M was better than all right.  ,positive,meredith be good right
2225,I just saw this film and I recommend it.  ,positive,saw film recommend it
577,So just beware.,negative,beware
405,The budget was evidently very limited.  ,negative,budget be evidently very limited
648,"VERY cheap plastic, creaks like an old wooden floor.",negative,very cheap plastic creak like old wooden floor
1378,I used bitpim (a free program you can find on the internet)to transfer data to the phone.The price of the cable was excellent.,positive,use bitpim a free program can find internet to transfer data phone the price of cable be excellent
1902,Very little music or anything to speak of.  ,negative,very little music anything speak of
504,Sending it back.,negative,send back
227,I own 2 of these cases and would order another.,positive,two of case would order another
1866,There is so much good food in Vegas that I feel cheated for wasting an eating opportunity by going to Rice and Company.,negative,be much good food vega feel cheated waste eat opportunity go rice company
15,I was not impressed by this product.,negative,be not impressed product
752,As a sushi lover avoid this place by all means.,negative,sushi lover avoid place mean
1482,"Good service, very clean, and inexpensive, to boot!",positive,good service very clean inexpensive boot
1803,"Unfortunately, it was not good.",negative,unfortunately be not good
1499,How can that be?The audio quality is poor.,negative,can be the audio quality be poor
2288,"Special mention should be made of the superb music score and sound effects, which are an integral element in helping to make this such a memorable and enjoyable cartoon.  ",positive,special mention be make of superb music score sound effect be integral element help make memorable enjoyable cartoon
601,"the food is not tasty at all, not to say its ""real traditional Hunan style"".",negative,food be not tasty all not say real traditional hunan style
1396,"Of all the dishes, the salmon was the best, but all were great.",positive,of dish salmon be best be great
1259,"not even a ""hello, we will be right with you.""",negative,not even hello be right you
2545,This phone might well be the worst I've ever had in any brand.,negative,phone might well be bad have ever have any brand
1769,It is so small and you don't even realize that it is there after a while of getting used to it.,positive,be small do not even realize be of get use it
320,I had to purchase a different case.,negative,have purchase different case
1701,Overpriced for what you are getting.,negative,overprice be get
2409,I even dropped this phone into a stream and it was submerged for 15 seconds and it still works great!,positive,even drop phone stream be submerge fifteen second still work great
1744,Poor Reliability.,negative,poor reliability
1362,I love all the features and form factor.,positive,love feature form factor
2652,Highly recommended A+  ,positive,highly recommend a
518,I only hear garbage for audio.,negative,hear garbage audio
2710,This early film from future goremeister Lucio Fulci is a very good addition to the giallo sub-genre.  ,positive,early film future goremeister lucio fulci be very good addition giallo sub genre
2279,This is a disgrace.,negative,be disgrace
262,"Because both ears are occupied, background is not distracting at all.",positive,ear be occupy background be not distract all
1783,It wasn't busy at all and now we know why.,negative,be not busy know why
1740,Overall I rate this movie a 10 out of a 1-10 scale.  ,positive,overall rate movie ten out of one ten scale
1015,Not good for the money.,negative,not good money
429,Which are small and not worth the price.,negative,be small not worth price
79,This is the place where I first had pho and it was amazing!!,positive,be place first have pho be amaze
2310,"I posted more detailed comments under the grey or black phone, but i have the Fire Red and it's a great color!",positive,post detailed comment grey black phone have fire red be great color
284,The script is a big flawed mess.  ,negative,script be big flawed mess
725,Great bluetooth!.,positive,great bluetooth
282,Battery lasts only a few hours.,negative,battery last few hour
1324,It feels more comfortable than most headsets because I wear glasses and that gets in the way sometimes.,positive,feel comfortable headset wear glass get way sometimes
1040,Couldn't figure it out,negative,could not figure out
2247,I love this bluetooth!,positive,love bluetooth
1695,"Shot in the Southern California desert using his patent faux documentary style, Watkins creates a film like no other.  ",positive,shot southern california desert use patent faux documentary style watkins create film like no other
2703,"Lewis Black's considerable talent is wasted here too, as he is at his most incendiary when he is unrestrained, which the PG-13 rating certainly won't allow.  ",negative,lewis black s considerable talent be waste too be incendiary be unrestrained pg thirteen rating certainly not allow
631,The best phone in market :).,positive,best phone market
1696,"I have purchased these for both family and friends, and all enjoy their clarity and ease of use",positive,have purchase family friends enjoy clarity ease of use
494,"The food is delicious and just spicy enough, so be sure to ask for spicier if you prefer it that way.",positive,food be delicious spicy enough be sure ask spicy prefer way
1646," With great sound effects, and impressive special effects, I can't recommend this movie enough.  	1
Call me a nut, but I think this is one of the best movies ever.  	1
Great character actors Telly Savalas and Peter Boyle.  	1
1 hour 54 minutes of sheer tedium, melodrama and horrible acting, a mess of a script, and a sinking feeling of GOOD LORD, WHAT WERE THEY THINKING?  	0
Lots of holes in the script.  	0
It's like a bad two hour TV movie.  	0
Now imagine that every single one of those decisions was made wrong.  	0
The dialogue is atrocious.  	0
The acting is beyond abysmal.  	0
Everything stinks.  	0
Trouble is, the writing and directing make it impossible to establish those things that make a movie watchable, like character, story, theme and so on.  	0
Worse, there's an incredibly weak sub-plot thrown in that follows a little band of latter-day Mansonites as they go after a reporter who's working on a story on the anniversary of the killings.  	0
It's dumb and pointless, and a complete waste of time.  	0
In short, don't bother with this movie.  	0
I won't spoil it, but the ending in pretty amazing.  	1
The best scene in the movie is at the end, but I won't spoil it.  	1
If there was ever an indication of a writer and a director's ability to meld two highly volatile temperaments into a seamless union of creativity, then this is it!  	1
The result is a powerhouse achievement, made more timely now perhaps because of our culture's disturbing fascination with celebrity, and it's distorted interpretations of fame.  	1
A film not easily forgotten.  	1
But, Kevin Spacey is an excellent, verbal tsunami as Buddy Ackerman  and totally believable because he is a great actor.  	1
The scripting of the subtle comedy is unmatched by any movie in recent years.  	1
The characters are interesting, even if a bit predictable.  	1
Highly recommended for all ages, although the younger set will probably not appreciate some of the more subtle references, they will certainly appreciate one galley scene in particular!  	1
Great movie!  	1
Also the story and acting were weak.  	0
At around 4 pm I bought it, at around 8pm I started to watch, at around 8.15pm I fast forwarded the remaining film to see if there was anything left watchable for a human being with a brain... but there wasn't.  	0
Either way, it sucks.  	0
The script is horrendously stupid.  	0
The story starts too fast with absolutely no suspense or build-up in the slightest.  	0
Everything Captain Howdy says is either laughable or just plain stupid.  	0
What the hell kind of crap is that?!  	0
Then, there's the plot holes.  	0
You could drive a semi truck into these holes!  	0
Linda Cardellini is the only thing good in this film.  	1
She's poised and amazing.  	1
Dee Snider just plain sucks.  	0
He can't act (one of the least scary villains I have ever seen), he can't write (did he write this damn movie in his sleep?  	0
I was bored throughout the whole damn thing.  	0
The acting sucks, the music sucks, the script sucks, the pacing sucks, the special FX suck, the directing sucks... basically, this movie sucks.  	0
This film tries to be a serious and sophisticated thriller/horror flick and it fails miserably.  	0
This is probably one of the least effective and utterly unoriginal films I have ever seen in my entire life.  	0
A piece of cinematic garbage captured on celluloid.  	0
Avoid at any and all costs.  	0
At any rate this film stinks, its not funny, and Fulci should have stayed with giallo and supernatural zombie movies.  	0
Avoid this film at all costs.  	0
I don't know what happened in Season Five, what a mess.  	0
The only consistent thread holding the series together were the amazing performances of Leni Parker and Anita LaSelva as the two Taelons in quiet idealogical conflict.  	0
Now this is a movie I really dislike.  	0
It's one of the most boring Horror movies from the 90's mainly because it starts slow and centers in a boring atmosphere.  	0
The puppets look really cheesy , not in a good way like in the Puppet Master 80's flicks.  	0
The story is lame, not interesting and NEVER really explains the sinister origins of the puppets.  	0
There aren't death scenes like in previous movies and the f/x are terrible.  	0
I felt asleep the first time I watched it, so I can recommend it for insomniacs.  	0
The fact is, this film is a wonderful, heartwarming tale about two people chasing their dreams.  	1
The best part about Nurse Betty"" is it's unpredictability.  ",positive,great sound effect impressive special effect cannot recommend movie enough one call nut think be one of best movie ever one great character actor telly savalas peter boyle one one hour fifty four minute of sheer tedium melodrama horrible act mess of script sink feeling of good lord be think zero lot of hole script zero be like bad two hour tv movie zero imagine every single one of decision be make wrong zero dialogue be atrocious zero acting be beyond abysmal zero everything stink zero trouble be write direct make impossible establish thing make movie watchable like character story theme on zero worse be incredibly weak sub plot thrown follow little band of latter day mansonites go reporter be work story anniversary of killing zero be dumb pointless complete waste of time zero short do not bother movie zero not spoil it end pretty amaze one best scene movie be end not spoil it one be ever indication of writer director s ability meld two highly volatile temperament seamless union of creativity be it one result be powerhouse achievement make timely perhaps of culture s disturb fascination celebrity be distorted interpretation of fame one film not easily forget one but kevin spacey be excellent verbal tsunami buddy ackerman totally believable be great actor one scripting of subtle comedy be unmatched any movie recent year one character be interest even bit predictable one highly recommended age although young set probably not appreciate of subtle reference certainly appreciate one galley scene particular one great movie one also story act be weak zero around four pm buy it around 8pm start watch around eight 15pm fast forward remain film see be anything leave watchable human be brain be not zero either way suck zero script be horrendously stupid zero story start too fast absolutely no suspense build up slight zero everything captain do say be either laughable plain stupid zero hell kind of crap be that zero then be plot hole zero could drive semi truck hole zero linda cardellini be thing good film one be poise amaze one dee snider plain suck zero cannot act one of least scary villain have ever see cannot write do write damn movie sleep zero be bore throughout whole damn thing zero act suck music suck script suck pace suck special fx suck direct suck basically movie suck zero film try be serious sophisticated thriller horror flick fail miserably zero be probably one of least effective utterly unoriginal film have ever see entire life zero piece of cinematic garbage capture celluloid zero avoid any cost zero any rate film stink not funny fulci have stay giallo supernatural zombie movie zero avoid film cost zero do not know happen season five mess zero consistent thread hold series together be amazing performance of leni parker anita laselva two taelons quiet idealogical conflict zero be movie really dislike zero be one of bore horror movie ninety s mainly start slow center bore atmosphere zero puppet look really cheesy not good way like puppet master eighty s flick zero story be lame not interest never really explain sinister origin of puppet zero be not death scene like previous movie f x be terrible zero felt asleep first time watch it can recommend insomniacs zero fact be film be wonderful heartwarming tale two people chase dreams one best part nurse betty be be unpredictability
1056,The kids play area is NASTY!,negative,kid play area be nasty
870,I love their fries and their beans.,positive,love fry bean
1900,It is shameful.  ,negative,be shameful
2489,"Mark my words, this is one of those cult films like Evil Dead 2 or Phantasm that people will still be discovering and falling in love with 20, 30, 40 years down the line.  ",positive,mark word be one of cult film like evil dead two phantasm people still be discover fall love twenty thirty forty year line
1815,"It lacked flavor, seemed undercooked, and dry.",negative,lack flavor seem undercooked dry
2190,"When it opens, the battery connection is broken and the device is turned off.",negative,open battery connection be broken device be turn off
316,"Top line: Don't waste your time and money on this one, its as bad as it comes.  ",negative,top line do not waste time money one bad come
325,"The burger had absolutely no flavor - the meat itself was totally bland, the burger was overcooked and there was no charcoal flavor.",negative,burger have absolutely no flavor meat be totally bland burger be overcook be no charcoal flavor
1087,It'll be a regular stop on my trips to Phoenix!,positive,be regular stop trip phoenix
2166,"I gave it 5 stars then, and I'm giving it 5 stars now.",positive,give five star then be give five star now
644,"I probably won't be back, to be honest.",negative,probably not be back be honest
2176,It is easy to turn on and off when you are in the car and the volume controls are quite accessable.,positive,be easy turn be car volume control be quite accessable
2077,"For service, I give them no stars.",negative,service give no star
2612,I could care less... The interior is just beautiful.,positive,could care less interior be beautiful
2274,I can't wait to go back.,positive,cannot wait go back
1804,It's very attractive and appears to be of good quality.,positive,be very attractive appear be of good quality
1029,"Steer clear of this product and go with the genuine Palm replacementr pens, which come in a three-pack.",negative,steer clear of product go genuine palm replacementr pen come three pack
2662,Hopefully this bodes for them going out of business and someone who can cook can come in.,negative,hopefully bode go out of business someone can cook can come in
277,"Whatever the producer was going for, he missed entirely.  ",negative,whatever producer be go for miss entirely
1370,The show would begin with smart ass ed comments to each other that would be totally off the wall and uncalled for.  ,negative,show would begin smart as ed comment would be totally wall uncalled for
2388,Better Than New.,positive,well new
48,Just had lunch here and had a great experience.,positive,have lunch have great experience
805,"In fact I'm going to round up to 4 stars, just because she was so awesome.",positive,fact be go round four star be awesome
446,Great Product.,positive,great product
2407,I don't think I've ever gone to a movie and disliked it as much.  ,negative,do not think have ever go movie dislike much
1428,It also took her forever to bring us the check when we asked for it.,negative,also take forever bring u check ask it
2585,Mediocre food.,negative,mediocre food
1636,A Disappointment.,negative,disappointment
1591,We loved the biscuits!!!,positive,love biscuit
2531,Will order from them again!,positive,order again
22,"I cannot believe that the actors agreed to do this ""film"".  ",negative,cannot believe actor agree do film
39,It makes very strange ticking noises before it ends the call.,negative,make very strange tick noise end call
1775,"The opening sequence of this gem is a classic, and the cat n mouse games that follow are a delight to watch.  ",positive,open sequence of gem be classic cat n mouse game follow be delight watch
984,"It was a bit too sweet, not really spicy enough, and lacked flavor.",negative,be bit too sweet not really spicy enough lacked flavor
1382,It was a good thing that the tickets only cost five dollars because I would be mad if I'd have paid $7.50 to see this crap.  ,negative,be good thing ticket cost five dollar would be mad would have pay seven fifty see crap
2631,I was shocked because no signs indicate cash only.,negative,be shock no sign indicate cash only
2131,This was like the final blow!,negative,be like final blow
1910,The goat taco didn't skimp on the meat and wow what FLAVOR!,positive,goat taco do not skimp meat wow flavor
1566,"Technically, the film is well made with impressive camera-work, solid acting and effective music from Riz Ortolani  particularly good is a recurring unaccompanied female vocal that sounds like it's coming from a distant hill.  ",positive,technically film be well make impressive camera work solid act effective music riz ortolani particularly good be recur unaccompanied female vocal sound like be come distant hill
1423,I usually don't like headbands but this one is very lightweight & doesn't mess up my hair.,positive,usually do not like headband one be very lightweight do not mess hair
2442,I work in the hospitality industry in Paradise Valley and have refrained from recommending Cibo any longer.,negative,work hospitality industry paradise valley have refrain recommend cibo any long
570,Any grandmother can make a roasted chicken better than this one.,negative,any grandmother can make roasted chicken well one
2571,I cannot make calls at certain places.,negative,cannot make call certain place
2287,They dropped more than the ball.,negative,drop ball
2085,Very easy to use.,positive,very easy use
2175,The Songs Were The Best And The Muppets Were So Hilarious.  ,positive,song be best muppets be hilarious
1655,The accompanied software is almost brilliant.,positive,accompany software be almost brilliant
1956,This BlueAnt Supertooth hands-free phone speaker is AWESOME.,positive,blueant supertooth hand free phone speaker be awesome
625,Maybe there would be a reasonable explanation for this atrocity.  ,negative,maybe would be reasonable explanation atrocity
1156,"Each track commands sentiment, actually contributing to the scenes and characters.  ",positive,track command sentiment actually contribute scene character
1222,I would highly recommend this.,positive,would highly recommend this
5,Not good by any stretch of the imagination.,negative,not good any stretch of imagination
2306,But I thought his acting was skilled.  ,positive,thought act be skilled
655,;) Recommend with confidence!  ,positive,recommend confidence
992,It's so bad it's actually worth seeing just for that reason.  ,negative,be bad be actually worth see reason
1787,I won't try going back there even if it's empty.,negative,not try go back even be empty
2452,"Just consider the excellent story, solid acting and look of the film as added bonuses.  ",positive,consider excellent story solid act look of film added bonus
2112,It failed to convey the broad sweep of landscapes that were a great part of the original.  ,negative,fail convey broad sweep of landscape be great part of original
1094,The chicken was deliciously seasoned and had the perfect fry on the outside and moist chicken on the inside.,positive,chicken be deliciously season have perfect fry outside moist chicken inside
1011,We loved the place.,positive,loved place
2667,"Will never, ever go back.",negative,never ever go back
1777,The film lacks any real scares or tension & some of the medical terminology used throughout is a bit iffy to say the least & I say that as an insulin dependant diabetic myself.  ,negative,film lack any real scare tension of medical terminology use throughout be bit iffy say least say insulin dependant diabetic myself
2460,New Battery works great in phone.,positive,new battery work great phone
1680,After I pulled up my car I waited for another 15 minutes before being acknowledged.,negative,pulled car wait another fifteen minute be acknowledge
2394,It was quite comfortable in the ear.,positive,be quite comfortable ear
2291,If only someone involved with it knew how to string together narrative!  ,negative,someone involve knew string together narrative
2746,I'm not sure how long we stood there but it was long enough for me to begin to feel awkwardly out of place.,negative,be not sure long stood be long enough begin feel awkwardly out of place
323,The flair bartenders are absolutely amazing!,positive,flair bartender be absolutely amazing
1540,The nano stated it.My son was dissapointed.,negative,nano state it my son be dissapointed
